Time,User,Computer,Process Name,Start/End
2026-05-04T18:02:12.501Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:02:14.584Z,PC,DESKTOP-C332RF6,C:\Program Files\Docker\Docker\resources\bin\docker.exe,Start
2026-05-04T18:02:15.533Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\cmd\git.exe,Start
2026-05-04T18:02:15.553Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\bin\git.exe,Start
2026-05-04T18:02:15.570Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,Start
2026-05-04T18:02:15.586Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,Start
2026-05-04T18:02:16.201Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,Start
2026-05-04T18:02:16.229Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,Start
2026-05-04T18:02:16.249Z,PC,DESKTOP-C332RF6,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Start
2026-05-04T18:02:16.252Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\cmd\git.exe,Start
2026-05-04T18:02:16.255Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\cmd\git.exe,Start
2026-05-04T18:02:16.270Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\bin\git.exe,Start
2026-05-04T18:02:16.273Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\mingw64\bin\git.exe,Start
2026-05-04T18:02:16.298Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\cmd\git.exe,Start
2026-05-04T18:02:16.301Z,PC,DESKTOP-C332RF6,C:\Program Files\Git\cmd\git.exe,Start
